City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,26.97,30,0,4.12,US,1686350062
1,susuman,62.7833,148.1667,16.94,43,23,1.19,RU,1686350197
2,opuwo,-18.0607,13.84,15.19,39,2,1.33,NA,1686350198
3,crane,31.3974,-102.3501,36.46,12,88,3.7,US,1686350198
4,ilulissat,69.2167,-51.1,3.01,81,75,1.54,GL,1686350198
5,yellowknife,62.456,-114.3525,20.31,52,75,6.17,CA,1686350101
6,punta arenas,-53.15,-70.9167,1.06,86,0,4.63,CL,1686350159
7,sooke,48.3746,-123.7276,15.69,83,100,3.59,CA,1686350339
8,ta`u,-14.2336,-169.5144,27.75,80,29,3.44,AS,1686350339
9,udachny,66.4167,112.4,16.36,87,94,4.91,RU,1686350340
10,saudarkrokur,65.7461,-19.6394,8.19,76,97,1.0,IS,1686350340
11,barra de santo antonio,-9.4047,-35.5072,25.6,83,40,3.37,BR,1686350340
12,hawaiian paradise park,19.5933,-154.9731,27.8,68,20,5.14,US,1686350341
13,longyearbyen,78.2186,15.6401,1.91,80,40,3.09,SJ,1686350093
14,thompson,55.7435,-97.8558,18.09,42,40,5.14,CA,1686350341
15,gorontalo,0.5412,123.0595,25.91,80,77,0.41,ID,1686350342
16,port-aux-francais,-49.35,70.2167,5.07,66,15,9.57,TF,1686350120
17,enewetak,11.3474,162.3373,27.94,81,89,8.42,MH,1686350342
18,colonia,50.9333,6.95,22.36,59,0,4.12,DE,1686350343
19,nar'yan-mar,67.6713,53.087,1.41,97,100,9.47,RU,1686350343
20,coari,-4.085,-63.1414,24.39,92,84,1.1,BR,1686350343
21,kerikeri,-35.2268,173.9474,15.51,80,79,2.03,NZ,1686350344
22,kabala,9.5833,-11.55,22.77,97,55,2.12,SL,1686350344
23,el calafate,-50.3408,-72.2768,0.03,69,28,4.16,AR,1686350344
24,san jose del guaviare,2.5729,-72.6459,23.85,96,25,1.52,CO,1686350345
25,ushuaia,-54.8,-68.3,2.81,75,75,6.69,AR,1686350345
26,prince albert,53.2001,-105.7677,23.97,31,40,5.14,CA,1686350101
27,pallipattu,13.3386,79.4449,28.15,67,100,3.53,IN,1686350346
28,labrador city,52.9463,-66.9114,17.95,52,75,3.6,CA,1686350346
29,whitehorse,60.7161,-135.0538,16.43,51,75,6.17,CA,1686350235
30,grytviken,-54.2811,-36.5092,0.53,87,93,5.38,GS,1686350347
31,codrington,-38.2667,141.9667,10.43,87,100,5.13,AU,1686350347
32,san antonio de pale,-1.4014,5.6325,24.82,79,100,3.65,GQ,1686350348
33,cidreira,-30.1811,-50.2056,20.7,63,29,2.85,BR,1686350348
34,badger,64.8,-147.5333,20.84,46,75,5.14,US,1686350348
35,avarua,-21.2078,-159.775,25.03,78,75,3.6,CK,1686350348
36,lesogorsk,56.0458,99.5136,20.98,65,65,1.52,RU,1686350349
37,aydarken,39.9443,71.3429,17.29,42,36,2.0,KG,1686350349
38,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1686350349
39,inirida,3.8653,-67.9239,24.19,96,62,0.44,CO,1686350350
40,invercargill,-46.4,168.35,4.21,78,4,1.6,NZ,1686350329
41,puerto natales,-51.7236,-72.4875,1.57,91,99,3.25,CL,1686350113
42,midvagur,62.0511,-7.1939,7.46,81,63,2.06,FO,1686350351
43,bethel,41.3712,-73.414,20.83,68,100,2.57,US,1686350335
44,stanley,54.868,-1.6985,9.83,88,75,1.54,GB,1686350351
45,hithadhoo,-0.6,73.0833,28.35,70,60,2.59,MV,1686350352
46,edinburgh of the seven seas,-37.0676,-12.3116,14.39,75,85,12.25,SH,1686350352
47,jurm,36.8648,70.8342,18.22,45,2,0.16,AF,1686350352
